"time","Inf.Asintomaticos","Inf.Leves","Inf.Hosp","Inf.UCI","Total.infecciosos","Defunciones","Removidos","Defunciones_por_dia","Removidos_por_dia"
46,625.531106007792,1409.05017727457,276.431893025089,138.771807519045,2449.7849838265,76.9010617797231,2152.35769171901,4.29438084647101,119.952191219341
47,670.060486995345,1506.09927030107,295.262272397249,148.165201583341,2619.58723127701,81.4832726033575,2280.55985248502,4.58221082363444,128.202160766011
48,718.922723036361,1612.36497463596,315.85991396729,158.443081365129,2805.59069300474,86.3802458003433,2417.79840064495,4.89697319698577,137.238548159934
49,772.570827436467,1728.81288222053,338.409956064519,169.697982518991,3009.49164824051,91.6217303840341,2564.94199770565,5.24148458369083,147.143597060698
50,831.506476204167,1856.51185778497,363.117319018108,182.03233301339,3233.16798602064,97.240592490871,2722.95034274555,5.61886210683689,158.008345039897
51,896.285619684528,1996.64587391214,390.208966350875,195.559583675756,3478.7000436233,103.273151643674,2892.8840155876,6.03255915280255,169.933672842051
52,967.524492655847,2150.52669399139,419.936328336827,210.405419923168,3748.39293490724,109.759541411872,3075.91503928039,6.48638976819814,183.031023692788
53,1045.90690492474,2319.60926001649,452.578242476499,226.709231949612,4044.80363936735,116.744146220709,3273.33967858669,6.9846048088371,197.424639306304
54,1132.19177296705,2505.50754478295,488.443979942889,244.625627906182,4370.76892559907,124.276042072612,3486.59135775672,7.53189585190292,213.251679170026
55,1227.22206510228,2710.0133970064,527.876844369382,264.326233249579,4729.43853972764,132.409522287975,3717.25607718868,8.13348021536359,230.664719431962
56,1331.934676047,2935.11732150478,571.258138633537,286.001674092176,5124.31181027749,141.204671328206,3967.0892476274,8.79514904023077,249.833170438725
57,1447.37153514194,3183.03184261093,619.011623810997,309.863806638547,5559.27880820241,150.728005777421,4238.03450272875,9.52333444921462,270.945255101353
58,1574.69219455374,3456.21796487882,671.608568123635,336.148241620463,6038.66696917666,161.053195394656,4532.24487101451,10.3251896172356,294.210368285753
59,1715.18797337123,3757.41488510518,729.57341488406,365.117178231819,6567.29345159229,172.261866914979,4852.10638808018,11.2086715203229,319.861517065673
60,1870.29778217298,4089.6732183657,793.49011956451,397.062572627309,7150.5236927305,184.444497424245,5200.26435165965,12.182630509266,348.157963579473
61,2041.62667281421,4456.39392138571,864.009571714333,432.309848845524,7794.34001475977,197.7014534607,5579.65387279484,13.2569560364551,379.389521135187
62,2230.96552501959,4861.36956782173,941.85746297815,471.221832786585,8505.41438860605,212.144083367864,5993.53200822307,14.442629907164,413.878135428228
63,2440.31445014803,5308.83341077172,1027.84363883499,514.203428048762,9291.1949278035,227.896011269801,6445.51583891249,15.751927901937,451.983830689424
64,2671.90872739682,5803.51371796056,1122.8724527355,561.706792966642,10160.0016910595,245.094559222166,6939.6243401136,17.1985479523643,494.108501201101
65,2928.24848098595,6350.69587817142,1227.95459671029,614.237255885904,11121.1362117536,263.892356475944,7480.32577990649,18.7977972537784,540.701439792894
66,3212.13186575927,6956.29186837706,1344.22033469236,672.359931796352,12185.004000625,284.459137360928,8072.59069858795,20.5667808849835,592.264918681465
67,3526.69371496753,7626.92107345286,1472.93489310128,736.707417597776,13363.2570991194,306.983813661517,8721.95299785897,22.5246763005895,649.362299271018
68,3875.44597345625,8369.99478792342,1615.51454841028,807.987835852907,14668.9431456429,331.676621733903,9434.57328067066,24.6928080723856,712.620282811691
69,4262.32957259313,9193.82464174469,1773.54727041633,886.995156403635,16116.6966411578,358.771881837351,10217.3202420453,27.0952601034485,782.746961374654
70,4691.76919936755,10107.7369755167,1948.81449073192,974.620080591034,17722.9407462072,388.530876797777,11077.8556445721,29.7589949604259,860.535402526741
71,5168.73421141949,11122.1999932664,2143.31529868052,1071.86213917667,19506.1116425431,421.245031622856,12024.7282261658,32.7141548250786,946.872581593734
72,5698.81114338838,12248.9751075624,2359.29524043434,1179.84409189231,21486.9255832774,457.239695716326,13067.4854141971,35.9946640934709,1042.75718803126
73,6288.28503721163,13501.2866139569,2599.27859918145,1299.82806750117,23688.6783178511,496.878352916569,14216.7977428416,39.6386572002427,1149.31232864458
74,6944.23039725667,14894.0114272718,2866.10449000397,1433.2336112167,26137.5799257491,540.567316343258,15484.5976442128,43.6889634266892,1267.79990137113
