"time","Inf.Asintomaticos","Inf.Leves","Inf.Hosp","Inf.UCI","Total.infecciosos","Defunciones","Removidos","Defunciones_por_dia","Removidos_por_dia"
43,13810.17458538,28330.1964109953,5356.91780371688,2679.08563337626,50176.3744334684,583.147360146615,17381.424391192,78.6943834760746,2358.05803550893
44,16591.2470900387,33935.0322726392,6410.06504183226,3205.63467793963,60141.9790824498,676.988930612251,20199.1826333606,93.8415704656363,2817.75824216862
45,20071.2898635363,40930.7440778632,7723.28627585956,3862.22168403868,72587.5419012978,789.678030578006,23590.0754175312,112.689099965755,3390.89278417065
46,24439.7448144768,49693.2610358364,9366.786144855,4683.94893341899,88183.7409285873,925.915535137485,27698.2916256558,136.237504559479,4108.21620812462
47,29935.4748049339,60696.8867012828,11429.1582026668,5715.11316670366,107776.632875587,1091.66747932223,32706.8944719427,165.751944184747,5008.60284628681
48,36858.0612119134,74536.9931695606,14021.6401207778,7011.33318475646,132428.027687008,1294.49242506162,38847.8557768433,202.824945739393,6140.96130490068
49,45580.7482570955,91956.1598375487,17283.0233246345,8642.00466679057,163461.936086069,1543.9422165921,46414.3229144024,249.449791530477,7566.4671375591
50,56564.6625226379,113873.12035115,21385.1046485395,10693.0259977611,202515.913520089,1852.04605527616,55775.4092105761,308.103838684061,9361.08629617371
51,70373.3903973987,141412.847294741,26538.3776124338,13269.643906705,251594.259211278,2233.88376846463,67393.6661123124,381.837713188472,11618.2569017362
52,87686.2434097734,175934.678357525,32997.3990522385,16499.136781862,313117.457601399,2708.24893863387,81845.2231449828,474.36517016924,14451.5570326704
53,109307.278050948,219052.968439257,41064.8207197452,20532.8304705723,389957.897680523,3298.38870415502,99842.1398003965,590.139765521147,17996.9166554137
54,136165.564359086,272641.725256215,51092.5164241512,25546.6618499992,485446.467889451,4032.78798377691,122255.90343675,734.399279621884,22413.763636354
55,169300.22538039,338810.838518365,63477.5214115311,31739.1485168197,603327.733827106,4945.93288731069,150139.967221839,913.144903533779,27884.063785088
56,209821.909582239,419837.823726855,78649.812724296,39325.2789669132,747634.825000303,6078.94864687091,184747.977327124,1133.01575956022,34608.0101052852
57,258841.225370312,518036.566939606,97048.4940898334,48524.6050396401,922450.891439391,7479.95408694929,227542.672479767,1401.00544007838,42794.6951526435
58,317356.424956097,635547.465321394,119083.457017295,59542.0724661969,1131529.41976098,9203.92234601258,280188.836185638,1723.96825906329,52646.1637058704
59,386097.047766896,774041.240052524,145081.007420662,72540.8341811118,1377760.12942119,11311.7975934201,344522.467912268,2107.87524740756,64333.6317266308
60,465335.490519408,934357.013323531,175217.111963251,87608.873494462,1662518.48930065,13868.6375973138,422489.151577846,2556.84000389366,77966.6836655779
61,554693.138029856,1116122.8466928,209446.978806802,104723.794466381,1984986.75799584,16940.6376432054,516047.396796353,3072.00004589161,93558.2452185064
62,652992.694485416,1317454.66347903,247448.474456554,123724.530329567,2341620.36275056,20591.1170235161,627040.104145487,3650.47938031073,110992.707349134
63,758218.802153052,1534850.87247789,288600.90355193,144300.733384589,2725971.31156746,24875.848165697,757046.850036359,4284.73114218082,130006.745890872
64,867645.327680356,1763395.83060362,332020.079541154,166010.310337168,3129071.5481623,29838.4730824346,907241.233310056,4962.62491673763,150194.383273698
65,978147.199963784,1997312.49997355,376657.478857261,188328.999386153,3540446.17818075,35507.0001769711,1078285.1141082,5668.52709453649,171043.880798142
66,1086652.94200256,2230790.50291015,421450.472865252,210725.48619707,3949619.40397503,41892.3275674044,1270289.55835074,6385.32739043328,192004.444242538
67,1190633.56120067,2458901.4196559,465489.644287821,232745.06211495,4347769.68725935,48989.3602871382,1482859.65214818,7097.0327197338,212570.093797443
68,1288493.87615072,2678353.56255925,508158.044254141,254079.252688711,4729084.73565282,56780.6420650595,1715219.24847051,7791.28177792128,232359.59632233
69,1379758.10997549,2887880.37767138,549204.548792234,274602.495917306,5091445.53235641,65241.7266110885,1966389.41324692,8461.08454602906,251170.164776413
70,1465010.45460192,3088180.0441693,588735.729958846,294368.077814642,5436294.30654471,74347.0750888263,2235380.70561582,9105.3484777378,268991.292368896
71,1545626.66961446,3281462.45868269,627135.867813696,313568.138396679,5767793.13450753,84075.2232541073,2521358.70785089,9728.14816528102,285978.002235075
72,1623387.74349643,3470763.77293712,664943.806972277,332472.099957808,6091567.42336364,94412.270145719,2823752.83575226,10337.0468916116,302394.127901367
73,1700080.43829646,3659218.74258091,702721.105224602,351360.741380206,6413381.02748218,105353.285260404,3142296.48061237,10941.0151146855,318543.644860106
74,1777175.03079438,3849458.7448934,740942.094904071,370471.228818245,6738047.0994101,116901.746048869,3477003.27188108,11548.4607884642,334706.791268711
75,1855637.63574155,4043246.0856555,779926.261465261,389963.30498737,7068773.28784968,129067.538180049,3828097.67130834,12165.79213118,351094.399427259
76,1935894.56147996,4241383.2984928,819820.355433694,409910.34513896,7407008.56054542,141864.26922992,4195924.798086,12796.7310498708,367827.12677766
77,2017924.16039407,4443858.74480015,860623.570024554,430311.945869675,7752718.42108845,155306.659061817,4580864.35735817,13442.389831897,384939.55927217
78,2101417.24502555,4650124.61561348,902237.145089302,451118.72709474,8104897.73282308,169408.558657188,4983266.30771857,14101.8995953717,402401.950360399
